lengths,returns
29,25.282790566840355
17,15.705680661607312
16,14.854222890512437
25,22.21786406008532
16,14.854222890512437
42,34.4340779425856
9,8.64827525163591
27,23.76572856528962
23,20.638571635634445
17,15.705680661607312
13,12.247897700103202
62,46.37317747928146
17,15.705680661607312
24,21.4321859192781
11,10.466174574128356
14,13.12541872310217
21,19.027213177874142
26,22.995685419484467
18,16.54862385499124
24,21.4321859192781
12,11.361512828387072
15,13.994164535871148
21,19.027213177874142
16,14.854222890512437
60,45.284335760923845
19,17.383137616441328
40,33.10282414303194
13,12.247897700103202
43,35.08973716315975
9,8.64827525163591
10,9.561792499119552
16,14.854222890512437
48,38.27098590577118
13,12.247897700103202
10,9.561792499119552
19,17.383137616441328
32,27.501966404214627
14,13.12541872310217
20,18.209306240276913
34,28.944677272770754
19,17.383137616441328
35,29.655230500043047
30,26.02996266117195
77,53.87780325819041
45,36.38145139361287
39,32.42709509397166
13,12.247897700103202
21,19.027213177874142
24,21.4321859192781
24,21.4321859192781
39,32.42709509397166
34,28.944677272770754
14,13.12541872310217
12,11.361512828387072
36,30.358678195042614
15,13.994164535871148
18,16.54862385499124
32,27.501966404214627
49,38.888276046713464
21,19.027213177874142
12,11.361512828387072
40,33.10282414303194
13,12.247897700103202
61,45.831492403314606
17,15.705680661607312
15,13.994164535871148
38,31.744540498961268
20,18.209306240276913
14,13.12541872310217
15,13.994164535871148
19,17.383137616441328
31,26.76966303456023
22,19.8369410460954
42,34.4340779425856
11,10.466174574128356
13,12.247897700103202
12,11.361512828387072
13,12.247897700103202
12,11.361512828387072
13,12.247897700103202
36,30.358678195042614
17,15.705680661607312
15,13.994164535871148
19,17.383137616441328
16,14.854222890512437
19,17.383137616441328
20,18.209306240276913
14,13.12541872310217
27,23.76572856528962
17,15.705680661607312
18,16.54862385499124
43,35.08973716315975
16,14.854222890512437
15,13.994164535871148
35,29.655230500043047
14,13.12541872310217
12,11.361512828387072
45,36.38145139361287
11,10.466174574128356
22,19.8369410460954
24,21.4321859192781
13,12.247897700103202
15,13.994164535871148
70,50.51613403997926
11,10.466174574128356
27,23.76572856528962
29,25.282790566840355
18,16.54862385499124
19,17.383137616441328
17,15.705680661607312
26,22.995685419484467
15,13.994164535871148
13,12.247897700103202
14,13.12541872310217
17,15.705680661607312
20,18.209306240276913
23,20.638571635634445
27,23.76572856528962
50,39.49939328624633
12,11.361512828387072
33,28.22694674017248
12,11.361512828387072
34,28.944677272770754
15,13.994164535871148
10,9.561792499119552
21,19.027213177874142
12,11.361512828387072
14,13.12541872310217
15,13.994164535871148
9,8.64827525163591
23,20.638571635634445
16,14.854222890512437
11,10.466174574128356
63,46.90944570448865
28,24.528071279636723
17,15.705680661607312
20,18.209306240276913
10,9.561792499119552
12,11.361512828387072
25,22.21786406008532
21,19.027213177874142
20,18.209306240276913
27,23.76572856528962
15,13.994164535871148
18,16.54862385499124
23,20.638571635634445
15,13.994164535871148
20,18.209306240276913
13,12.247897700103202
25,22.21786406008532
19,17.383137616441328
31,26.76966303456023
27,23.76572856528962
20,18.209306240276913
13,12.247897700103202
30,26.02996266117195
37,31.05509141309219
54,41.88335858818901
13,12.247897700103202
18,16.54862385499124
23,20.638571635634445
14,13.12541872310217
33,28.22694674017248
16,14.854222890512437
18,16.54862385499124
13,12.247897700103202
18,16.54862385499124
20,18.209306240276913
12,11.361512828387072
23,20.638571635634445
15,13.994164535871148
28,24.528071279636723
14,13.12541872310217
11,10.466174574128356
41,33.77179590160162
23,20.638571635634445
12,11.361512828387072
23,20.638571635634445
24,21.4321859192781
12,11.361512828387072
14,13.12541872310217
40,33.10282414303194
17,15.705680661607312
12,11.361512828387072
24,21.4321859192781
16,14.854222890512437
19,17.383137616441328
23,20.638571635634445
14,13.12541872310217
55,42.46452500230712
26,22.995685419484467
20,18.209306240276913
10,9.561792499119552
32,27.501966404214627
10,9.561792499119552
44,35.73883979152815
17,15.705680661607312
20,18.209306240276913
28,24.528071279636723
18,16.54862385499124
10,9.561792499119552
28,24.528071279636723
16,14.854222890512437
21,19.027213177874142
25,22.21786406008532
19,17.383137616441328
28,24.528071279636723
11,10.466174574128356
21,19.027213177874142
11,10.466174574128356
17,15.705680661607312
11,10.466174574128356
14,13.12541872310217
49,38.888276046713464
23,20.638571635634445
15,13.994164535871148
13,12.247897700103202
63,46.90944570448865
44,35.73883979152815
16,14.854222890512437
17,15.705680661607312
34,28.944677272770754
16,14.854222890512437
17,15.705680661607312
39,32.42709509397166
14,13.12541872310217
36,30.358678195042614
38,31.744540498961268
35,29.655230500043047
14,13.12541872310217
20,18.209306240276913
17,15.705680661607312
17,15.705680661607312
40,33.10282414303194
19,17.383137616441328
24,21.4321859192781
32,27.501966404214627
17,15.705680661607312
12,11.361512828387072
21,19.027213177874142
15,13.994164535871148
30,26.02996266117195
20,18.209306240276913
23,20.638571635634445
19,17.383137616441328
11,10.466174574128356
74,52.465995799429265
61,45.831492403314606
11,10.466174574128356
12,11.361512828387072
43,35.08973716315975
11,10.466174574128356
21,19.027213177874142
20,18.209306240276913
22,19.8369410460954
19,17.383137616441328
48,38.27098590577118
15,13.994164535871148
21,19.027213177874142
13,12.247897700103202
17,15.705680661607312
19,17.383137616441328
13,12.247897700103202
20,18.209306240276913
20,18.209306240276913
17,15.705680661607312
23,20.638571635634445
33,28.22694674017248
13,12.247897700103202
18,16.54862385499124
52,40.70335535985003
21,19.027213177874142
18,16.54862385499124
12,11.361512828387072
32,27.501966404214627
13,12.247897700103202
31,26.76966303456023
42,34.4340779425856
12,11.361512828387072
25,22.21786406008532
26,22.995685419484467
14,13.12541872310217
50,39.49939328624633
13,12.247897700103202
36,30.358678195042614
42,34.4340779425856
26,22.995685419484467
10,9.561792499119552
13,12.247897700103202
23,20.638571635634445
28,24.528071279636723
33,28.22694674017248
15,13.994164535871148
22,19.8369410460954
17,15.705680661607312
10,9.561792499119552
20,18.209306240276913
40,33.10282414303194
18,16.54862385499124
18,16.54862385499124
31,26.76966303456023
38,31.744540498961268
13,12.247897700103202
23,20.638571635634445
15,13.994164535871148
22,19.8369410460954
18,16.54862385499124
27,23.76572856528962
29,25.282790566840355
57,43.60948095476121
29,25.282790566840355
32,27.501966404214627
12,11.361512828387072
16,14.854222890512437
33,28.22694674017248
28,24.528071279636723
30,26.02996266117195
11,10.466174574128356
13,12.247897700103202
16,14.854222890512437
27,23.76572856528962
11,10.466174574128356
34,28.944677272770754
16,14.854222890512437
25,22.21786406008532
62,46.37317747928146
10,9.561792499119552
46,37.01763687967674
24,21.4321859192781
27,23.76572856528962
14,13.12541872310217
11,10.466174574128356
16,14.854222890512437
26,22.995685419484467
49,38.888276046713464
12,11.361512828387072
31,26.76966303456023
25,22.21786406008532
10,9.561792499119552
38,31.744540498961268
35,29.655230500043047
36,30.358678195042614
43,35.08973716315975
10,9.561792499119552
14,13.12541872310217
15,13.994164535871148
45,36.38145139361287
13,12.247897700103202
12,11.361512828387072
29,25.282790566840355
33,28.22694674017248
112,67.55544701365739
24,21.4321859192781
13,12.247897700103202
41,33.77179590160162
36,30.358678195042614
46,37.01763687967674
19,17.383137616441328
19,17.383137616441328
49,38.888276046713464
23,20.638571635634445
47,37.647460510879974
26,22.995685419484467
12,11.361512828387072
17,15.705680661607312
12,11.361512828387072
35,29.655230500043047
18,16.54862385499124
14,13.12541872310217
16,14.854222890512437
16,14.854222890512437
51,40.10439935338387
19,17.383137616441328
20,18.209306240276913
9,8.64827525163591
26,22.995685419484467
35,29.655230500043047
14,13.12541872310217
26,22.995685419484467
46,37.01763687967674
17,15.705680661607312
33,28.22694674017248
33,28.22694674017248
25,22.21786406008532
16,14.854222890512437
38,31.744540498961268
14,13.12541872310217
22,19.8369410460954
28,24.528071279636723
18,16.54862385499124
21,19.027213177874142
37,31.05509141309219
15,13.994164535871148
62,46.37317747928146
13,12.247897700103202
8,7.72553055720799
11,10.466174574128356
22,19.8369410460954
37,31.05509141309219
18,16.54862385499124
12,11.361512828387072
15,13.994164535871148
14,13.12541872310217
32,27.501966404214627
21,19.027213177874142
26,22.995685419484467
57,43.60948095476121
19,17.383137616441328
12,11.361512828387072
17,15.705680661607312
30,26.02996266117195
48,38.27098590577118
10,9.561792499119552
12,11.361512828387072
59,44.73165228376146
23,20.638571635634445
28,24.528071279636723
14,13.12541872310217
27,23.76572856528962
22,19.8369410460954
34,28.944677272770754
36,30.358678195042614
65,47.96594773496932
21,19.027213177874142
11,10.466174574128356
13,12.247897700103202
29,25.282790566840355
12,11.361512828387072
27,23.76572856528962
23,20.638571635634445
19,17.383137616441328
35,29.655230500043047
20,18.209306240276913
52,40.70335535985003
18,16.54862385499124
23,20.638571635634445
19,17.383137616441328
62,46.37317747928146
44,35.73883979152815
41,33.77179590160162
37,31.05509141309219
12,11.361512828387072
42,34.4340779425856
12,11.361512828387072
15,13.994164535871148
19,17.383137616441328
16,14.854222890512437
20,18.209306240276913
51,40.10439935338387
94,61.12160819257726
17,15.705680661607312
11,10.466174574128356
35,29.655230500043047
16,14.854222890512437
16,14.854222890512437
16,14.854222890512437
34,28.944677272770754
13,12.247897700103202
40,33.10282414303194
11,10.466174574128356
29,25.282790566840355
15,13.994164535871148
60,45.284335760923845
43,35.08973716315975
13,12.247897700103202
27,23.76572856528962
17,15.705680661607312
21,19.027213177874142
35,29.655230500043047
28,24.528071279636723
35,29.655230500043047
28,24.528071279636723
22,19.8369410460954
34,28.944677272770754
11,10.466174574128356
39,32.42709509397166
41,33.77179590160162
40,33.10282414303194
16,14.854222890512437
11,10.466174574128356
52,40.70335535985003
50,39.49939328624633
41,33.77179590160162
30,26.02996266117195
22,19.8369410460954
9,8.64827525163591
52,40.70335535985003
14,13.12541872310217
30,26.02996266117195
23,20.638571635634445
29,25.282790566840355
22,19.8369410460954
48,38.27098590577118
13,12.247897700103202
64,47.44035124744376
72,51.500862972583676
21,19.027213177874142
87,58.28791200667791
78,54.33902522560851
24,21.4321859192781
23,20.638571635634445
37,31.05509141309219
20,18.209306240276913
27,23.76572856528962
37,31.05509141309219
16,14.854222890512437
18,16.54862385499124
25,22.21786406008532
16,14.854222890512437
33,28.22694674017248
27,23.76572856528962
44,35.73883979152815
15,13.994164535871148
19,17.383137616441328
23,20.638571635634445
22,19.8369410460954
